Novo,Tipo,TipoAnuncio,Rua,Metragem,Comodos,Aluguel,Total,Bairro,Cidade,Lat,Long
1,Apartamento,Nenhum,Rua Deputado Mário de Barros,33,1,900,1432,Centro Cívico,Curitiba,-25.4127722,-49.2644256
1,Casa,Nenhum,Rua Natálio Scussiato,62,3,1600,1807,Cidade Industrial,Curitiba,-25.4679057,-49.3410556
1,Apartamento,Exclusivo,Rua Lourival Portella Natel,33,1,1200,1566,Portão,Curitiba,0.0,0.0
0,Apartamento,Exclusivo,Rua Renato Polatti,57,2,1552,1978,Campo Comprido,Curitiba,-25.4607769,-49.335998
0,Studio e kitnet,Nenhum,Rua Major França Gomes,28,1,1500,1835,Santa Quitéria,Curitiba,-25.4588126,-49.3092527
0,Apartamento,Exclusivo,Rua Valdomiro Rodrigues,45,2,800,1069,Tatuquara,Curitiba,-25.5564893,-49.2954255
1,Apartamento,Exclusivo,Rua David Bodziak,48,2,700,1005,Cachoeira,Curitiba,-25.3516702,-49.2515825
0,Apartamento,Exclusivo,Rua Comendador Macedo,25,1,1200,1652,Centro,Curitiba,-25.4292982,-49.2585813
1,Casa,Nenhum,Rua Professor Rodolfo Belz,50,1,1100,1195,Santa Cândida,Curitiba,-25.3736846,-49.23917
1,Casa,Exclusivo,Rua Pedro Wieler,110,4,2500,2639,Xaxim,Curitiba,-25.512056,-49.2654152
0,Apartamento,Nenhum,Rua Padre Giácomo Cusmano,45,1,2300,3017,Campina do Siqueira,Curitiba,-25.4370317,-49.3068764
1,Apartamento,Nenhum,Avenida Sete de Setembro,50,2,859,1350,Rebouças,Curitiba,-25.4401194,-49.2729475
1,Apartamento,Nenhum,Rua Deputado Mário de Barros,31,1,800,1297,Centro Cívico,Curitiba,-25.4127722,-49.2644256
0,Apartamento,Exclusivo,Rua Canadá,98,3,1607,2432,Bacacheri,Curitiba,-25.3849287,-49.2316495
0,Apartamento,Nenhum,Rua Murillo Szabo,55,2,980,1260,Campo de Santana,Curitiba,0.0,0.0
0,Casa,Exclusivo,Rua Paula Prevedello Gusso,330,3,6150,6500,Boa vista,Curitiba,-25.3828495,-49.2583931
0,Casa,Nenhum,Rua Nilo Peçanha,110,6,5890,6297,Bom Retiro,Curitiba,-25.4055551,-49.2757799
0,Apartamento,Originals,Avenida Fredolin Wolf,59,1,1440,1832,Pilarzinho,Curitiba,-25.3871663,-49.3012805
1,Apartamento,Nenhum,Rua Desembargador Antônio de Paula,40,2,1100,1292,Boqueirão,Curitiba,-25.5072242,-49.2252897
0,Studio e kitnet,Originals,Avenida Visconde de Guarapuava,30,1,1950,2291,Centro,Curitiba,-25.4375075,-49.2706303
0,Apartamento,Exclusivo,Travessa Itararé,17,1,550,919,Centro,Curitiba,-25.4314431,-49.2622522
0,Apartamento,Exclusivo,Rua Durval Leopoldo Landal,43,2,809,1160,Cidade Industrial,Curitiba,-25.4874777,-49.3509548
0,Apartamento,Nenhum,Rua Íris Antônio Campos,47,2,870,900,Campo Comprido,Curitiba,-25.4662342,-49.322733
0,Apartamento,Originals,Rua Elvira Harkot Ramina,290,3,8000,10543,Mossunguê,Curitiba,-25.4378247,-49.321645
0,Apartamento,Originals,Rua João Alencar Guimarães,69,2,1825,2240,Campo Comprido,Curitiba,-25.4609556,-49.3235806
0,Apartamento,Nenhum,Rua Júlio Bartolomeu Taborda Luiz,80,1,1500,1589,Tingui,Curitiba,-25.3909012,-49.2111392
0,Apartamento,Exclusivo,Rua Luiz Barreto Murat,35,1,1090,1260,Bairro Alto,Curitiba,-25.4127337,-49.2126508
0,Studio e kitnet,Exclusivo,Rua Doutor Faivre,24,1,999,1323,Centro,Curitiba,-25.4281438,-49.2618004
0,Apartamento,Originals,Rua Alferes Ângelo Sampaio,40,1,1200,1664,Batel,Curitiba,-25.4416848,-49.2834011
0,Studio e kitnet,Originals,Rua Elvira Annibaleto,19,1,1448,1533,Novo Mundo,Curitiba,-25.4794268,-49.2881674
