Novo,Tipo,TipoAnuncio,Rua,Metragem,Comodos,Aluguel,Total,Bairro,Cidade,Lat,Long,TicketM.Bairro,Std.Bairro,TicketM.Comodos,Std.Comodos,TicketM.Tipo,Std.Tipo,ZScore.Bairro,ZScore.Comodos,ZScore.Tipo,Zscore,PredictOfModel,%PriceOfCityModel,PredictOfModelByRegion,%PriceOfRegioModel
1,Apartamento,Exclusivo,Rua Ângelo Tozim,53,2,900,1251,Campo de Santana,Curitiba,-25.5824023,-49.331801,1307.6666666666667,90.46730532813126,1968.030612244898,1272.6401768260293,2224.125,1789.167544386054,-0.6263773023981732,-0.5634197515539513,-0.5438981961490499,-0.5778984167003914,1735.6149393792061,72.07819958310897,1154.6273902504713,108.34664157140969
1,Casa,Nenhum,Rua Albino Kaminski,26,1,500,537,Bairro Alto,Curitiba,-25.4103764,-49.2046931,1338.7142857142858,536.7180247534436,1643.8702290076335,1858.1809276690537,3763.2631578947367,4000.668209929417,-1.493734603160711,-0.5956740877736366,-0.806431073161065,-0.9652799213651376,504.2880532700224,106.4867582164319,764.956279737858,70.2000904135363
1,Casa,Nenhum,Rua Otto Willi Michaelis,70,4,2000,2082,Butiatuvinha,Curitiba,-25.4104607,-49.3643487,7189.5,7223.095769820583,6822.210526315789,4565.208509038131,3763.2631578947367,4000.668209929417,-0.7071067811865476,-1.038333849797045,-0.4202455864052767,-0.7218954057962897,2429.1107598552344,85.7103774108711,1952.6273902504715,106.62556565556183
1,Studio e kitnet,Exclusivo,Rua Chanceler Oswaldo Aranha,36,1,900,965,Xaxim,Curitiba,-25.4899983,-49.2629991,1672.6666666666667,782.4432673789626,1643.8702290076335,1858.1809276690537,1865.0,2651.1595261947805,-0.9044319200767318,-0.36534129637162105,-0.3394741022211415,-0.5364157728898314,1637.5654448780454,58.92894253590375,759.9136367717031,126.9881146099119
1,Apartamento,Exclusivo,Avenida Comendador Franco,45,2,941,1274,Uberaba,Curitiba,-25.4821464,-49.222097,2663.4545454545455,1702.0185876562198,1968.030612244898,1272.6401768260293,2224.125,1789.167544386054,-0.8163568573994874,-0.545347086224964,-0.5310430557391045,-0.6309156664545186,1562.350562146466,81.54379886737392,1158.6615046233953,109.95445994506339
1,Apartamento,Nenhum,Rua Presidente Faria,44,1,1320,1697,Centro,Curitiba,-25.4273784,-49.2685596,2668.6176470588234,3457.8088701820184,1643.8702290076335,1858.1809276690537,2224.125,1789.167544386054,-0.2809922941193906,0.02859235621313461,-0.29462025602576025,-0.18234006464400543,1438.3628465387583,117.9813566572315,755.879522398779,224.50667728298566
1,Apartamento,Originals,Rua Coronel Dulcídio,143,3,4500,5831,Água Verde,Curitiba,-25.4490641,-49.2782357,3532.0,1997.0725575201318,3157.162162162162,2268.8736873082294,2224.125,1789.167544386054,1.1511850139560214,1.1784868645596813,2.0159515028748665,1.4485411271301896,5305.438962879321,109.90608017164807,1512.5298500763085,385.5130528303835
1,Casa,Nenhum,Rua José Benedito Oliveira,80,2,2500,2628,Uberaba,Curitiba,-25.4943756,-49.1997515,2663.4545454545455,1702.0185876562198,1968.030612244898,1272.6401768260293,3763.2631578947367,4000.668209929417,-0.020830880292187937,0.5185828640119383,-0.28376838526051273,0.07132786615307922,1997.7788101927324,131.54609442205808,1141.012254241853,230.32180331368815
1,Apartamento,Exclusivo,Rua São Mateus,35,1,2200,2560,Portão,Curitiba,-25.4768384,-49.2969519,3104.133333333333,2237.008680826974,1643.8702290076335,1858.1809276690537,2224.125,1789.167544386054,-0.2432414938739437,0.4930250641101894,0.18772696892132268,0.14583684638585614,1021.8138800038273,250.53486257109867,760.4179010683185,336.6569877436382
1,Casa,Exclusivo,Rua Jesus Francisco da Rocha,30,1,651,678,Tatuquara,Curitiba,-25.5625672,-49.3373141,962.3333333333334,295.46956978116486,1643.8702290076335,1858.1809276690537,3763.2631578947367,4000.668209929417,-0.9623100393855131,-0.5197934251855895,-0.771186960777527,-0.7510968084495432,369.29369973829444,183.59370887737185,762.939222551396,88.86684285710923
